Date,HomeTeam,WeatherDesc,TempMaxC,PrecipMM,WindKmh
2026-11-28,Borussia Dortmund,N/A,,,
2026-11-28,SC Freiburg,N/A,,,
2026-11-28,Hamburger SV,N/A,,,
2026-12-05,1. FC Union Berlin,N/A,,,
2026-12-05,FC Schalke 04,N/A,,,
2026-12-05,Bayer 04 Leverkusen,N/A,,,
2026-12-05,Eintracht Frankfurt,N/A,,,
2026-12-05,RB Leipzig,N/A,,,
2026-12-05,SV 07 Elversberg,N/A,,,
2026-12-05,SC Freiburg,N/A,,,
2026-12-05,FC Bayern München,N/A,,,
2026-12-05,FC Augsburg,N/A,,,
2026-12-12,SC Paderborn 07,N/A,,,
2026-12-12,SV Werder Bremen,N/A,,,
2026-12-12,VfB Stuttgart,N/A,,,
2026-12-12,Borussia Dortmund,N/A,,,
2026-12-12,Hamburger SV,N/A,,,
2026-12-12,1. FSV Mainz 05,N/A,,,
2026-12-12,1. FC Köln,N/A,,,
2026-12-12,TSG 1899 Hoffenheim,N/A,,,
2026-12-12,Borussia Mönchengladbach,N/A,,,
2026-12-19,FC Schalke 04,N/A,,,
2026-12-19,FC Bayern München,N/A,,,
2026-12-19,SV 07 Elversberg,N/A,,,
2026-12-19,Bayer 04 Leverkusen,N/A,,,
2026-12-19,SC Freiburg,N/A,,,
2026-12-19,RB Leipzig,N/A,,,
2026-12-19,1. FSV Mainz 05,N/A,,,
2026-12-19,1. FC Union Berlin,N/A,,,
2026-12-19,FC Augsburg,N/A,,,
2027-01-09,VfB Stuttgart,N/A,,,
2027-01-09,Hamburger SV,N/A,,,
2027-01-09,1. FC Köln,N/A,,,
2027-01-09,Eintracht Frankfurt,N/A,,,
2027-01-09,TSG 1899 Hoffenheim,N/A,,,
2027-01-09,Borussia Mönchengladbach,N/A,,,
2027-01-09,Borussia Dortmund,N/A,,,
2027-01-09,SV Werder Bremen,N/A,,,
2027-01-09,SC Paderborn 07,N/A,,,
2027-01-13,1. FSV Mainz 05,N/A,,,
2027-01-13,SC Freiburg,N/A,,,
2027-01-13,FC Schalke 04,N/A,,,
2027-01-13,RB Leipzig,N/A,,,
2027-01-13,1. FC Union Berlin,N/A,,,
2027-01-13,FC Bayern München,N/A,,,
2027-01-13,FC Augsburg,N/A,,,
2027-01-13,SV 07 Elversberg,N/A,,,
2027-01-13,1. FC Köln,N/A,,,
2027-01-16,SV Werder Bremen,N/A,,,
2027-01-16,Eintracht Frankfurt,N/A,,,
2027-01-16,SC Paderborn 07,N/A,,,
2027-01-16,TSG 1899 Hoffenheim,N/A,,,
2027-01-16,Bayer 04 Leverkusen,N/A,,,
2027-01-16,VfB Stuttgart,N/A,,,
2027-01-16,Hamburger SV,N/A,,,
2027-01-16,Borussia Mönchengladbach,N/A,,,
2027-01-16,Borussia Dortmund,N/A,,,
2027-01-23,SV Werder Bremen,N/A,,,
2027-01-23,Hamburger SV,N/A,,,
2027-01-23,SC Paderborn 07,N/A,,,
2027-01-23,FC Schalke 04,N/A,,,
2027-01-23,TSG 1899 Hoffenheim,N/A,,,
2027-01-23,VfB Stuttgart,N/A,,,
2027-01-23,Borussia Mönchengladbach,N/A,,,
2027-01-23,Eintracht Frankfurt,N/A,,,
2027-01-23,Bayer 04 Leverkusen,N/A,,,
2027-01-30,SV 07 Elversberg,N/A,,,
2027-01-30,FC Augsburg,N/A,,,
2027-01-30,1. FSV Mainz 05,N/A,,,
2027-01-30,RB Leipzig,N/A,,,
2027-01-30,1. FC Köln,N/A,,,
2027-01-30,1. FC Union Berlin,N/A,,,
2027-01-30,SC Freiburg,N/A,,,
2027-01-30,Borussia Dortmund,N/A,,,
2027-01-30,FC Bayern München,N/A,,,
2027-02-06,Eintracht Frankfurt,N/A,,,
2027-02-06,Borussia Mönchengladbach,N/A,,,
2027-02-06,FC Schalke 04,N/A,,,
2027-02-06,Hamburger SV,N/A,,,
2027-02-06,Bayer 04 Leverkusen,N/A,,,
2027-02-06,SV Werder Bremen,N/A,,,
2027-02-06,VfB Stuttgart,N/A,,,
2027-02-06,FC Bayern München,N/A,,,
2027-02-06,SC Paderborn 07,N/A,,,
2027-02-13,1. FC Köln,N/A,,,
2027-02-13,1. FSV Mainz 05,N/A,,,
2027-02-13,1. FC Union Berlin,N/A,,,
2027-02-13,SV 07 Elversberg,N/A,,,
2027-02-13,Borussia Dortmund,N/A,,,
2027-02-13,TSG 1899 Hoffenheim,N/A,,,
2027-02-13,SC Freiburg,N/A,,,
2027-02-13,FC Augsburg,N/A,,,
2027-02-13,RB Leipzig,N/A,,,
2027-02-20,FC Schalke 04,N/A,,,
2027-02-20,VfB Stuttgart,N/A,,,
2027-02-20,Borussia Mönchengladbach,N/A,,,
2027-02-20,SV Werder Bremen,N/A,,,
2027-02-20,Hamburger SV,N/A,,,
2027-02-20,Bayer 04 Leverkusen,N/A,,,
2027-02-20,Eintracht Frankfurt,N/A,,,
2027-02-20,FC Bayern München,N/A,,,
2027-02-20,SV 07 Elversberg,N/A,,,
2027-02-27,VfB Stuttgart,N/A,,,
2027-02-27,1. FC Köln,N/A,,,
2027-02-27,SC Freiburg,N/A,,,
2027-02-27,FC Augsburg,N/A,,,
2027-02-27,1. FSV Mainz 05,N/A,,,
2027-02-27,TSG 1899 Hoffenheim,N/A,,,
2027-02-27,SC Paderborn 07,N/A,,,
2027-02-27,RB Leipzig,N/A,,,
2027-02-27,Borussia Dortmund,N/A,,,
2027-03-03,Eintracht Frankfurt,N/A,,,
2027-03-03,FC Schalke 04,N/A,,,
2027-03-03,Bayer 04 Leverkusen,N/A,,,
2027-03-03,FC Bayern München,N/A,,,
2027-03-03,SV Werder Bremen,N/A,,,
2027-03-03,1. FC Union Berlin,N/A,,,
2027-03-03,SV 07 Elversberg,N/A,,,
2027-03-03,Borussia Mönchengladbach,N/A,,,
2027-03-03,Hamburger SV,N/A,,,
2027-03-06,Borussia Dortmund,N/A,,,
2027-03-06,SC Freiburg,N/A,,,
2027-03-06,1. FSV Mainz 05,N/A,,,
2027-03-06,Hamburger SV,N/A,,,
2027-03-06,VfB Stuttgart,N/A,,,
2027-03-06,RB Leipzig,N/A,,,
2027-03-06,SC Paderborn 07,N/A,,,
2027-03-06,1. FC Köln,N/A,,,
2027-03-06,TSG 1899 Hoffenheim,N/A,,,
2027-03-13,1. FC Union Berlin,N/A,,,
2027-03-13,SV 07 Elversberg,N/A,,,
2027-03-13,Eintracht Frankfurt,N/A,,,
2027-03-13,FC Augsburg,N/A,,,
2027-03-13,Borussia Mönchengladbach,N/A,,,
2027-03-13,SV Werder Bremen,N/A,,,
2027-03-13,FC Schalke 04,N/A,,,
2027-03-13,FC Bayern München,N/A,,,
2027-03-13,Bayer 04 Leverkusen,N/A,,,
2027-03-20,1. FC Köln,N/A,,,
2027-03-20,TSG 1899 Hoffenheim,N/A,,,
2027-03-20,Borussia Dortmund,N/A,,,
2027-03-20,1. FSV Mainz 05,N/A,,,
2027-03-20,VfB Stuttgart,N/A,,,
2027-03-20,RB Leipzig,N/A,,,
2027-03-20,SC Freiburg,N/A,,,
2027-03-20,Hamburger SV,N/A,,,
2027-03-20,SC Paderborn 07,N/A,,,
2027-04-03,RB Leipzig,N/A,,,
2027-04-03,SV 07 Elversberg,N/A,,,
2027-04-03,FC Bayern München,N/A,,,
2027-04-03,FC Augsburg,N/A,,,
2027-04-03,Borussia Mönchengladbach,N/A,,,
2027-04-03,Eintracht Frankfurt,N/A,,,
2027-04-03,1. FC Union Berlin,N/A,,,
2027-04-03,Bayer 04 Leverkusen,N/A,,,
2027-04-03,FC Schalke 04,N/A,,,
2027-04-10,VfB Stuttgart,N/A,,,
2027-04-10,SC Paderborn 07,N/A,,,
2027-04-10,TSG 1899 Hoffenheim,N/A,,,
2027-04-10,1. FSV Mainz 05,N/A,,,
2027-04-10,SV Werder Bremen,N/A,,,
2027-04-10,Borussia Dortmund,N/A,,,
2027-04-10,Hamburger SV,N/A,,,
2027-04-10,Borussia Mönchengladbach,N/A,,,
2027-04-10,1. FC Köln,N/A,,,
2027-04-17,Bayer 04 Leverkusen,N/A,,,
2027-04-17,Eintracht Frankfurt,N/A,,,
2027-04-17,1. FC Union Berlin,N/A,,,
2027-04-17,FC Bayern München,N/A,,,
2027-04-17,FC Schalke 04,N/A,,,
2027-04-17,SV 07 Elversberg,N/A,,,
2027-04-17,FC Augsburg,N/A,,,
2027-04-17,SC Freiburg,N/A,,,
2027-04-17,RB Leipzig,N/A,,,
2027-04-24,SV Werder Bremen,N/A,,,
2027-04-24,1. FC Köln,N/A,,,
2027-04-24,Hamburger SV,N/A,,,
2027-04-24,Borussia Dortmund,N/A,,,
2027-04-24,TSG 1899 Hoffenheim,N/A,,,
2027-04-24,SC Paderborn 07,N/A,,,
2027-04-24,VfB Stuttgart,N/A,,,
2027-04-24,Borussia Mönchengladbach,N/A,,,
2027-04-24,Eintracht Frankfurt,N/A,,,
2027-05-08,FC Schalke 04,N/A,,,
2027-05-08,RB Leipzig,N/A,,,
2027-05-08,SC Freiburg,N/A,,,
2027-05-08,1. FSV Mainz 05,N/A,,,
2027-05-08,FC Augsburg,N/A,,,
2027-05-08,1. FC Union Berlin,N/A,,,
2027-05-08,SV 07 Elversberg,N/A,,,
2027-05-08,Bayer 04 Leverkusen,N/A,,,
2027-05-08,FC Bayern München,N/A,,,
2027-05-15,Eintracht Frankfurt,N/A,,,
2027-05-15,SC Paderborn 07,N/A,,,
2027-05-15,VfB Stuttgart,N/A,,,
2027-05-15,Borussia Dortmund,N/A,,,
2027-05-15,Hamburger SV,N/A,,,
2027-05-15,Bayer 04 Leverkusen,N/A,,,
2027-05-15,SV Werder Bremen,N/A,,,
2027-05-15,Borussia Mönchengladbach,N/A,,,
2027-05-15,TSG 1899 Hoffenheim,N/A,,,
2027-05-22,RB Leipzig,N/A,,,
2027-05-22,1. FC Union Berlin,N/A,,,
2027-05-22,1. FSV Mainz 05,N/A,,,
2027-05-22,FC Schalke 04,N/A,,,
2027-05-22,SV 07 Elversberg,N/A,,,
2027-05-22,FC Bayern München,N/A,,,
2027-05-22,FC Augsburg,N/A,,,
2027-05-22,SC Freiburg,N/A,,,
2027-05-22,1. FC Köln,N/A,,,
