MatchDate,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Home_xG,Away_xG
2024-03-09,RB Leipzig,Darmstadt,2,0,2.64,1.32
2024-03-09,Werder Bremen,Dortmund,1,2,1.65,1.98
2024-03-10,Bochum,Freiburg,1,2,1.98,1.65
2024-03-10,Ein Frankfurt,Hoffenheim,3,1,2.31,0.66
2024-03-10,Leverkusen,Wolfsburg,2,0,2.31,0.33
2024-03-15,FC Koln,RB Leipzig,1,5,0.66,2.31
2024-03-16,Mainz,Bochum,2,0,1.32,1.32
2024-03-16,Darmstadt,Bayern Munich,2,5,0.99,1.98
2024-03-16,Heidenheim,M'gladbach,1,1,1.65,0.66
2024-03-16,Wolfsburg,Augsburg,1,3,1.32,1.65
2024-03-16,Hoffenheim,Stuttgart,0,3,0.33,3.96
2024-03-16,Union Berlin,Werder Bremen,2,1,1.65,0.66
2024-03-17,Freiburg,Leverkusen,2,3,0.99,2.31
2024-03-17,Dortmund,Ein Frankfurt,3,1,1.98,1.98
2024-03-30,Ein Frankfurt,Union Berlin,0,0,1.32,0.66
2024-03-30,Leverkusen,Hoffenheim,2,1,3.96,0.66
2024-03-30,M'gladbach,Freiburg,0,3,1.32,2.64
2024-03-30,RB Leipzig,Mainz,0,0,3.3,0.66
2024-03-30,Werder Bremen,Wolfsburg,0,2,0.33,1.65
2024-03-30,Bayern Munich,Dortmund,0,2,0.99,1.65
2024-03-31,Bochum,Darmstadt,2,2,2.31,0.99
2024-03-31,Augsburg,FC Koln,1,1,1.98,0.66
2024-03-31,Stuttgart,Heidenheim,3,3,1.98,0.99
2024-04-05,Ein Frankfurt,Werder Bremen,1,1,1.65,2.31
2024-04-06,FC Koln,Bochum,2,1,1.98,0.66
2024-04-06,Freiburg,RB Leipzig,1,4,1.32,1.98
2024-04-06,Heidenheim,Bayern Munich,3,2,1.32,2.64
2024-04-06,Mainz,Darmstadt,4,0,2.97,0.66
2024-04-06,Union Berlin,Leverkusen,0,1,0.33,2.64
2024-04-06,Dortmund,Stuttgart,0,1,2.31,0.66
2024-04-07,Hoffenheim,Augsburg,3,1,1.98,2.31
2024-04-07,Wolfsburg,M'gladbach,1,3,1.32,1.98
2024-04-12,Augsburg,Union Berlin,2,0,1.32,1.32
2024-04-13,Mainz,Hoffenheim,4,1,2.64,0.33
2024-04-13,Bochum,Heidenheim,1,1,1.65,0.99
2024-04-13,Bayern Munich,FC Koln,2,0,2.31,1.65
